iter	Passed	Remaining
942	18495	1117
943	18509	1097
944	18522	1078
945	18537	1058
946	18550	1038
947	18565	1018
948	18581	998
949	18595	978
950	18610	958
951	18623	938
952	18634	919
953	18654	899
954	18669	879
955	18681	859
956	18693	839
957	18706	820
958	18720	800
959	18732	780
960	18746	760
961	18757	740
962	18770	721
963	18783	701
964	18795	681
965	18808	661
966	18818	642
967	18832	622
968	18848	602
969	18860	583
970	18872	563
971	18887	544
972	18899	524
973	18912	504
974	18925	485
975	18936	465
976	18947	446
977	18957	426
978	18969	406
979	18977	387
980	18988	367
981	19004	348
982	19016	328
983	19028	309
984	19040	289
985	19051	270
986	19061	251
987	19072	231
988	19081	212
989	19091	192
990	19103	173
991	19113	154
992	19121	134
993	19129	115
994	19137	96
995	19144	76
996	19150	57
997	19157	38
998	19162	19
999	19168	0
